price day ahead;price actual
45.1;54.67
60.76;68.6
65.01;77.38
68.85;81.32
69.7;84.56
69.49;84.81
67.48;82.36
65.78;77.45
61.64;73.74
60.76;72.68
62.75;74.44
65.78;77.9
69;87.45
71.15;89.51
69.7;87.6
67.01;83.04
63;76.03
57.59;69.71
52.1;61.14
43.52;53.05
41.1;49.9
40;48.46
39.8;48.21
40.1;48.75
46.25;55.1
61.89;69.94
66.15;78.22
69.49;82.25
70.52;86.75
67.7;83.62
63.89;79.33
60.77;72.54
53.38;65.72
49.93;62.27
54.12;66.77
57.3;70.83
63.29;81.34
66;83.97
64.16;82.01
61;76.81
56.18;69.68
45.2;57.36
42.74;51.88
40.38;51.88
39.5;48.32
39.5;48.02
39.68;48.28
40.1;48.11
44.93;53.35
62;69.71
68.03;79.78
70.64;83.04
72.52;88.92
70.2;87.13
68.03;84.35
65;77.62
59.82;72.19
58.38;70.66
59.89;72.33
63;76.22
67.1;87.45
69.1;87.97
68.2;86.66
63.1;79.06
58.18;70.92
48.75;61.2
45.28;55.27
42.67;51.07
40.09;47.79
39.1;46.8
38.4;45.79
38.5;46.15
44.52;53.17
49.69;57.26
54.55;66.74
59.82;72.99
61.44;78.95
56.01;73.35
48.77;66.42
41.45;54.68
37.63;50.6
34.52;49.53
37.4;50.62
39.1;52.6
49.19;67.77
52;69.53
47.87;65.31
39.9;55.79
36.07;50.33
30.52;43.36
20;30.58
7.88;16.79
7.04;15.93
7.04;15.76
5;14.7
7.04;16.82
25;32.22
34.31;41.28
42.59;54.92
49.02;62.44
52.01;68.75
50.01;66.39
47.45;62.27
42.59;55.18
34.48;48.06
33.8;47.37
36;48.77
42;55.14
50;67.39
52.01;69.55
49;65.98
42.94;60.29
38.4;54.74
29.93;45.04
5;30.14
4;24.91
4;17.23
4;16.1
4;14.27
4;13.85
5;13.48
9.2;16.37
17.2;27.33
25.1;33.73
35.62;45.28
34.3;43.23
23.23;32.53
18.2;29.67
7.5;22.62
5;18.95
5;18.5
9;23.93
22.33;43.11
35.62;52.36
40.4;57.46
37.54;55.32
34.6;56.16
22.43;41.49
47.34;28.02
40.4;21.3
36;17.45
37;18.24
35.99;16.85
37.98;16.59
43.61;16.61
56.1;16.98
57.69;19.56
60.01;23.13
62.25;22.55
60.01;23.56
59.97;22.51
59.69;23.44
58.69;24.1
58.13;21.12
59;21.73
59.69;25.93
63.76;54.13
65.01;68.53
65.01;70.15
61.75;67.61
59.96;62.39
58.69;56.55
42.47;56.65
36.67;49.27
35;46.53
31.04;42.25
29.87;40.87
30.5;41.88
39.2;51.44
57.26;66.5
57.59;70.96
61.33;73.16
63.89;77.89
62.61;76.34
58.34;72.25
54.1;66.45
43.89;56.81
42.59;55.43
43.89;56.44
49.64;62.63
52.5;74.35
64.89;84.34
61.99;80.79
54.1;72.41
46.45;62.82
38.4;55.41
20.17;40.96
15.1;38.45
13.55;34.03
13;30.66
12;30.59
18.1;30.28
30.23;36.38
43.52;47.92
47.05;55.67
50;66.52
50.48;71.59
49.38;69.44
49.12;68.88
49.05;63.37
47.47;55.77
45.94;55.61
45.94;56.07
46.26;66.85
50.48;76
70.16;85.73
77.15;81.22
75.6;70.96
54.92;65.74
50.94;57.31
31.55;42.65
27.22;36.99
26.71;33.95
27.16;32.94
27.39;30.88
29.6;33.12
30;39.73
36;52.29
40.12;65.29
40.12;69.68
39.44;73.5
39.44;69.06
39.3;66.45
39.19;57.02
39.69;47.06
39.44;45.08
39.69;46.93
40.12;50.78
40;67.96
39.69;77.22
50;78.16
55.69;72.5
47.58;56.27
40.12;44.68
50.9;37.71
41.77;36.21
38;27.28
37.1;29.39
36.9;26.73
36.7;33.93
37.4;39.38
38;52.38
41.15;64.4
43;70.13
45.12;73.38
44.71;70.58
42;67.53
41.6;60.79
37;56.4
32;57.3
27.5;57.66
28.2;62.7
32.08;75.71
37.1;82.79
46.39;79.39
54.15;72.83
53.5;62.14
47.19;60.7
52.95;51.07
51;44.28
48;39.2
48;37.08
49.19;36.72
52.45;38.61
54.05;45.97
57.49;61.27
60.69;70.47
60.8;72.57
60.95;76.79
61.19;70.96
60.95;67.95
60.5;63.06
57.93;55.9
57.49;56.06
57.49;56.61
58.69;66.81
57.03;78.38
55;81.86
56.23;79.13
59.03;76.25
58;68.1
54.05;66.22
60.12;65.89
55;63.59
51.31;58.61
52.64;53.68
55.92;51.39
59;52.55
61.3;53.8
63;58.41
65.19;60.24
69.01;64.11
69.98;69.51
70.02;69.14
70.69;66.27
69.98;66.67
69.1;68.54
68;67.45
67.1;65.64
68.09;66.66
67.9;81.59
65.69;90
64.23;84.26
65.11;79.77
65.19;67.21
62;65.14
52.54;63.8
46.86;57.09
44.98;52.95
44.68;50.79
43.56;49.74
42.32;50.68
41;51.94
40.16;54.25
40.16;55.17
40.3;56.87
43.25;55.59
43.39;51.89
43.28;49.13
42.68;47.63
41;47.11
40.16;41.4
40.16;42.07
40.16;41.97
42.56;56.62
44.76;64.46
48.62;68.86
63.5;67.51
66.78;58.31
61.98;51.78
51.5;47.15
49.3;41.5
47.69;37.33
47.69;35.33
47.2;34.67
47.55;36.5
51.5;44.59
62.5;61.72
63.48;67.85
63.76;72.67
65;77.71
65;75.51
65.49;76.74
65.25;71.84
63.48;68.76
63.48;67.56
62.53;68.98
62.52;76.95
61;85.91
58.01;102.62
61.51;97.99
63.69;82.89
57.57;72.83
49.94;68.4
58.81;61.16
56.6;59.36
53.65;54.01
52.01;53.17
50;51.89
53.65;52.35
57.6;58.22
61.5;73.56
62.86;79.08
64.85;82.09
63.4;85.98
61.19;85.33
61.25;84.41
60.01;79.31
56.8;74.93
51.89;73.39
48;76.03
51.89;76.88
55.97;88.42
60;91.25
63.03;90.14
62.69;84.78
59.1;75.41
55.42;69.47
26.28;60.2
23.01;56.95
18;55.25
16.6;53.4
18;52.05
25;53.63
30.1;58.9
46.95;77.06
47.92;81.2
47.8;85.06
48.81;88.22
49.21;86.4
50.19;86.48
52.1;81.83
50.7;80.14
52.1;79.95
54.1;81.04
57.69;84.66
67.74;91.68
63.03;94.42
63;96.62
59.59;89.38
55.88;83.42
49.21;80.59
68.88;73.92
62.17;64.47
54.21;56.34
48.8;55.19
48.5;54.8
48.69;56.62
59.64;63.09
68.02;76.93
70;84.62
72.69;89.34
72.28;92.25
70.67;89.74
70;86.53
68.07;81.97
66.52;80.32
66.4;80.05
67;80.48
71;80.31
78.69;91.92
77.1;93.96
76.99;94.41
73.85;88.01
67.65;82.03
65.98;78.47
59;68.9
49.07;59.45
45.3;55.68
42.43;52.66
41.62;51.92
41.71;51.83
45.42;55.16
58.25;66.98
57.84;70.6
60.1;72.21
60.1;75.28
58.03;73.39
54.35;70.32
49.89;62.54
47.54;60.15
44.19;56.98
43.2;56.29
45.75;59.5
51.49;70.81
59.99;77.94
61.1;78.64
60;74.83
52.6;65.51
46.3;57.84
41.3;52.87
36.19;48
35.68;47.42
33.18;45.03
31.43;42.45
32.85;44.3
33.93;45.46
36.12;49.38
37.8;51.31
44.02;54.63
47.31;57.79
47.1;57.51
44.1;55.25
43.5;54
37.9;49.15
33.93;45.64
32.4;44.35
35.01;46.06
40.1;53.42
44.98;60.97
45.1;62.26
42.61;58.97
42.71;53.16
37.21;48.15
27.5;41.05
20;34.6
12.51;24.74
10;25.58
8.4;25.1
9.34;26.06
12.4;26.3
16.33;30.48
21.1;35.9
26.55;39.99
33.02;44.71
34.15;45.8
27.33;40.22
26.86;41.1
26.32;40.53
25.5;39.42
25.5;39.24
29.65;42.61
38.81;53.33
50.24;69.12
54.92;72.68
53.15;70.85
54.33;69.48
49.74;59.87
43.2;55.76
37.2;49.9
35.01;46.86
34.5;46.39
34.34;46.84
34.7;47.34
39.33;50.5
53.42;65.03
57.36;75.14
65.1;81.94
66.73;87.32
68.03;87.54
63.3;78.56
59.5;71.24
54.01;66.46
49.87;62.55
52.46;65
54.76;68.14
55.21;76.05
67.7;87.82
61.49;81.44
53.01;70.76
49.99;63.1
39.36;51.14
39.1;48.72
37.1;46.11
26.56;36.96
25.01;35.54
20.1;31.29
25;35.2
28.11;37.68
42.69;51.69
41.1;55.13
48.99;62.68
48.99;65.19
44.89;61.66
43.5;60
40.1;54.05
38.71;53.35
38.98;53.58
40;54.13
42;56.13
44;63.11
55.1;73.37
53.59;71.35
48.99;64.87
44.01;57.71
39.33;52.19
28.2;38.95
27.5;38
19;30.03
20.66;32.38
21;32.26
22;33.69
28.68;39.16
52;62
53.1;67.44
58.1;71.64
56.69;72.98
54.8;69.74
54.85;69.71
53.05;65.59
50.36;63.29
50.1;63.06
52;64.38
54;67.32
57.95;80.41
61.55;82.82
60.19;81.19
56.69;74.78
55.46;68.26
51.65;63.77
47.54;59.22
45.94;57.64
43.9;55.26
41.3;52.9
40.84;52.38
41.47;52.58
47.15;57.83
56.77;66.58
59.03;73.93
62.43;77.59
61.49;79.63
60.22;76.54
60.25;76.82
58.01;71.04
56.15;69.22
56.77;69.79
58.13;71.35
58.21;76.12
61.3;83.8
71.4;92.16
75.8;95.95
68.03;86.39
60.35;74.24
58.01;69.89
48.15;58.73
47.02;58.15
44.16;54.66
41.11;51.76
40.52;50.98
42.63;52.64
49.29;59.14
57.2;65.59
57.18;72.96
59.2;73.33
58.92;75.76
58.09;72.88
57;72.28
53.03;65.34
51.9;63.99
49.81;62.2
49.4;61.55
50.39;66.07
53;74.77
58.1;78.65
59.99;79.81
58.09;75.22
53.1;66.65
50.93;62.88
50.03;60.52
45.1;54.57
41.25;52.21
39.1;50.07
37.49;48.31
39.94;50.01
38.4;48.78
37.5;47.73
36.15;47.76
43.55;53.12
46.1;56.4
43.1;54.33
35.93;48.42
36.1;49.74
27.72;43.76
17.67;29.81
12;24.69
17.65;30.72
28.21;42.12
36.1;50.33
40;54.18
37.5;51.86
33.4;45.47
29.56;40.91
12.4;28.01
10.15;25.86
5.02;21.32
4.99;23.02
4.99;20.99
5;21
6.5;21.7
11.7;25.12
12;28.43
13;28
15.55;29.18
15.55;28.33
12.4;26.19
12.4;26.53
9.85;23.29
5.02;18.73
5;18.89
5.02;18.9
25.05;38.77
39.96;57.56
47.15;63.78
43.6;60.32
40;55.86
30.1;41.03
24.99;37.23
10;23.88
5;18.34
5;17.71
5;17.69
7.5;19.9
24.6;37.72
35.6;46.04
36.6;51.37
46.63;62.07
49.62;68.1
45.41;63.72
45.04;62.3
42.1;55.5
28.51;42.98
27.52;42.58
28.4;42.9
30;45.69
33.83;52.72
44;64.5
45.04;65.02
38.4;56.52
27.91;42.56
25;39.27
12.4;25.38
5;18.21
4;17.19
4.8;17.73
4.8;17.52
5;17.42
19.09;31.26
32.54;43.28
30.11;45.25
37.6;51.94
35.01;51.02
30.1;47.17
27.79;45.18
27.26;41.87
24.13;39.88
24.13;40.17
26.1;40.28
28.34;42.81
33.49;57.2
46.1;68.69
51.5;73.26
45.2;65.25
40;53.6
33.71;47.73
30.01;43.03
25.05;37.56
20.43;31.11
13;23.86
12.4;23.69
16.5;27.47
26.11;37.5
43;52.3
40;53.59
48;61.12
44;60.95
39.6;56.81
38.4;55.46
34.51;49.11
28.63;42.69
28.6;42.24
34.2;47.78
37.08;51.75
37.59;61.64
48.8;71.53
51.48;73.11
43.1;62.27
38.55;51.75
37.33;51.41
